id,text,topic
50,discriminative model: Model that learns decision boundaries between classes.,ai_ml
51,discriminative model: Model that learns decision boundaries between classes.,ai_ml
52,attention mechanism: Weighting scheme to focus on relevant parts of input.,ai_ml
53,transformer: Architecture using self-attention for sequence modeling.,ai_ml
54,cosine similarity: Measure of orientation similarity between vectors.,ai_ml
55,zero-shot learning: Performing tasks without explicit training examples.,ai_ml
56,transfer learning: Applying knowledge from one task to related tasks.,ai_ml
57,backpropagation: Method for computing gradients in neural networks via chain rule.,ai_ml
58,meta-learning: Learning to learn; optimizing learning algorithm itself.,ai_ml
59,backpropagation: Method for computing gradients in neural networks via chain rule.,ai_ml
60,discriminative model: Model that learns decision boundaries between classes.,ai_ml
61,dimensionality reduction: Projecting high-dimensional data to lower dimensions.,ai_ml
62,transfer learning: Applying knowledge from one task to related tasks.,ai_ml
63,overfitting: Model captures noise rather than underlying pattern.,ai_ml
64,few-shot learning: Learning from very few examples per class.,ai_ml
65,"disentanglement: Learning representations with independent, interpretable factors.",ai_ml
66,interpretability: The degree to which model decisions can be understood.,ai_ml
67,attention mechanism: Weighting scheme to focus on relevant parts of input.,ai_ml
68,embedding: Dense vector representation of data in continuous space.,ai_ml
69,autoencoder: Neural network that learns compressed representation of data.,ai_ml
70,transformer: Architecture using self-attention for sequence modeling.,ai_ml
71,reference: The relationship between linguistic expressions and entities.,language
72,narrative: Structured account of connected events.,language
73,discourse: Extended stretch of language use in communication.,language
74,sense: The mode of presentation or meaning of a term.,language
75,polysemy: Single word having multiple related meanings.,language
76,connotation: Associated or implied meaning beyond literal definition.,language
77,discourse: Extended stretch of language use in communication.,language
78,denotation: Literal or primary meaning of a term.,language
79,reference: The relationship between linguistic expressions and entities.,language
80,reference: The relationship between linguistic expressions and entities.,language
81,analogy: Similarity between different things used for explanation.,language
82,reference: The relationship between linguistic expressions and entities.,language
83,analogy: Similarity between different things used for explanation.,language
84,discourse: Extended stretch of language use in communication.,language
85,connotation: Associated or implied meaning beyond literal definition.,language
86,arousal: Physiological and psychological state of alertness and readiness.,affect
87,fear: Negative emotion from perception of threat or danger.,affect
88,awe: Feeling of wonder combined with respect or fear.,affect
89,"mood: Diffuse, sustained affective state.",affect
90,emotion: Intense feeling state with physiological and cognitive components.,affect
91,"mood: Diffuse, sustained affective state.",affect
92,anxiety: Apprehensive uneasiness about uncertain future events.,affect
93,sadness: Negative emotion from loss or failure.,affect
94,compassion: Sympathetic concern combined with desire to alleviate suffering.,affect
95,emotion: Intense feeling state with physiological and cognitive components.,affect
96,sympathy: Feelings of concern or pity for another's situation.,affect
97,fear: Negative emotion from perception of threat or danger.,affect
98,awe: Feeling of wonder combined with respect or fear.,affect
99,fear: Negative emotion from perception of threat or danger.,affect
100,anger: Negative emotion from perceived injustice or frustration.,affect
101,"identity: The qualities, beliefs, personality, looks and expressions that define a person or group.",social
102,reciprocity: Practice of exchanging things with others for mutual benefit.,social
103,reciprocity: Practice of exchanging things with others for mutual benefit.,social
104,competition: Striving against others for scarce resources.,social
105,"ritual: Formalized, repeated symbolic action with social meaning.",social
106,"trust: Belief in reliability, truth, or ability of someone or something.",social
107,"community: A group sharing common interests, values, or location.",social
108,role: Expected behaviors associated with a social position.,social
109,role: Expected behaviors associated with a social position.,social
110,"belonging: Feeling of acceptance, inclusion, and membership.",social
111,alienation: Estrangement from social relationships or oneself.,social
112,norm: Expected standard of behavior within a group.,social
113,cooperation: Working together toward mutual benefit.,social
114,"culture: Shared beliefs, practices, and artifacts of a group.",social
115,alienation: Estrangement from social relationships or oneself.,social
116,attractor: State toward which system tends to evolve.,systems
117,resilience: Capacity to recover from disturbance and maintain function.,systems
118,modularity: Degree to which system components are separable and recombinible.,systems
119,modularity: Degree to which system components are separable and recombinible.,systems
120,homeostasis: Self-regulating process maintaining stable equilibrium.,systems
121,criticality: State balanced between order and chaos.,systems
122,network: Interconnected system of nodes and edges.,systems
123,criticality: State balanced between order and chaos.,systems
124,network: Interconnected system of nodes and edges.,systems
125,emergence: Complex patterns arising from simple rule interactions.,systems
126,resilience: Capacity to recover from disturbance and maintain function.,systems
127,emergence: Complex patterns arising from simple rule interactions.,systems
128,bifurcation: Qualitative change in system dynamics at parameter value.,systems
129,attractor: State toward which system tends to evolve.,systems
