id,text,topic
51,dasein: Being-there; human existence as situated and temporal.,philosophy
52,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
53,phenomenology: The study of structures of experience and consciousness.,philosophy
54,relativism: The view that truth or value depends on perspective or culture.,philosophy
55,virtue: Excellence of character; habitual good action.,philosophy
56,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
57,consciousness: Awareness of internal and external existence; subjective experience.,philosophy
58,truth: Correspondence between belief or statement and reality.,philosophy
59,consciousness: Awareness of internal and external existence; subjective experience.,philosophy
60,dasein: Being-there; human existence as situated and temporal.,philosophy
61,skepticism: Doubt about the possibility of certain knowledge.,philosophy
62,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
63,freedom: The capacity for self-determination and choice.,philosophy
64,wisdom: Deep understanding and good judgment about important matters.,philosophy
65,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
66,beauty: Aesthetic quality that evokes pleasure or admiration.,philosophy
67,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
68,being: The fundamental nature of existence; what it means to be.,philosophy
69,embodiment: The way consciousness is grounded in bodily experience.,philosophy
70,phenomenology: The study of structures of experience and consciousness.,philosophy
71,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
72,relativism: The view that truth or value depends on perspective or culture.,philosophy
73,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
74,embodiment: The way consciousness is grounded in bodily experience.,philosophy
75,virtue: Excellence of character; habitual good action.,philosophy
76,dasein: Being-there; human existence as situated and temporal.,philosophy
77,nihilism: The view that life lacks inherent meaning or value.,philosophy
78,care: The fundamental structure of human concern and involvement.,philosophy
79,phenomenology: The study of structures of experience and consciousness.,philosophy
80,phenomenology: The study of structures of experience and consciousness.,philosophy
81,responsibility: The state of being accountable for one's actions and choices.,philosophy
82,phenomenology: The study of structures of experience and consciousness.,philosophy
83,responsibility: The state of being accountable for one's actions and choices.,philosophy
84,nihilism: The view that life lacks inherent meaning or value.,philosophy
85,dasein: Being-there; human existence as situated and temporal.,philosophy
86,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
87,skepticism: Doubt about the possibility of certain knowledge.,philosophy
88,authenticity: Living in accordance with one's own values and nature.,philosophy
89,essence: The intrinsic nature or indispensable quality of something.,philosophy
90,becoming: The process of change and transformation in existence.,philosophy
91,essence: The intrinsic nature or indispensable quality of something.,philosophy
92,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
93,beauty: Aesthetic quality that evokes pleasure or admiration.,philosophy
94,worldhood: The structured totality of relations that make up a world.,philosophy
95,becoming: The process of change and transformation in existence.,philosophy
96,dasein: Being-there; human existence as situated and temporal.,philosophy
97,skepticism: Doubt about the possibility of certain knowledge.,philosophy
98,freedom: The capacity for self-determination and choice.,philosophy
99,skepticism: Doubt about the possibility of certain knowledge.,philosophy
100,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
101,being: The fundamental nature of existence; what it means to be.,philosophy
102,truth: Correspondence between belief or statement and reality.,philosophy
103,wisdom: Deep understanding and good judgment about important matters.,philosophy
104,freedom: The capacity for self-determination and choice.,philosophy
105,phenomenology: The study of structures of experience and consciousness.,philosophy
106,virtue: Excellence of character; habitual good action.,philosophy
107,essence: The intrinsic nature or indispensable quality of something.,philosophy
108,worldhood: The structured totality of relations that make up a world.,philosophy
109,care: The fundamental structure of human concern and involvement.,philosophy
110,relativism: The view that truth or value depends on perspective or culture.,philosophy
111,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
112,phenomenology: The study of structures of experience and consciousness.,philosophy
113,authenticity: Living in accordance with one's own values and nature.,philosophy
114,consciousness: Awareness of internal and external existence; subjective experience.,philosophy
115,nihilism: The view that life lacks inherent meaning or value.,philosophy
116,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
117,embodiment: The way consciousness is grounded in bodily experience.,philosophy
118,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
119,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
120,existence: The fact or state of being; concrete reality.,philosophy
121,beauty: Aesthetic quality that evokes pleasure or admiration.,philosophy
122,freedom: The capacity for self-determination and choice.,philosophy
123,beauty: Aesthetic quality that evokes pleasure or admiration.,philosophy
124,freedom: The capacity for self-determination and choice.,philosophy
125,being: The fundamental nature of existence; what it means to be.,philosophy
126,"intersubjectivity: Shared, overlapping subjective experience between persons.",philosophy
127,being: The fundamental nature of existence; what it means to be.,philosophy
128,relativism: The view that truth or value depends on perspective or culture.,philosophy
129,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
130,"meaning: Significance, purpose, or interpretation of something.",philosophy
131,embodiment: The way consciousness is grounded in bodily experience.,philosophy
132,becoming: The process of change and transformation in existence.,philosophy
133,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
134,relativism: The view that truth or value depends on perspective or culture.,philosophy
135,essence: The intrinsic nature or indispensable quality of something.,philosophy
136,authenticity: Living in accordance with one's own values and nature.,philosophy
137,becoming: The process of change and transformation in existence.,philosophy
138,beauty: Aesthetic quality that evokes pleasure or admiration.,philosophy
139,beauty: Aesthetic quality that evokes pleasure or admiration.,philosophy
140,existence: The fact or state of being; concrete reality.,philosophy
141,care: The fundamental structure of human concern and involvement.,philosophy
142,freedom: The capacity for self-determination and choice.,philosophy
143,phenomenology: The study of structures of experience and consciousness.,philosophy
144,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
145,worldhood: The structured totality of relations that make up a world.,philosophy
146,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
147,freedom: The capacity for self-determination and choice.,philosophy
148,truth: Correspondence between belief or statement and reality.,philosophy
149,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
150,embodiment: The way consciousness is grounded in bodily experience.,philosophy
151,skepticism: Doubt about the possibility of certain knowledge.,philosophy
152,virtue: Excellence of character; habitual good action.,philosophy
153,worldhood: The structured totality of relations that make up a world.,philosophy
154,authenticity: Living in accordance with one's own values and nature.,philosophy
155,existence: The fact or state of being; concrete reality.,philosophy
156,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
157,"intersubjectivity: Shared, overlapping subjective experience between persons.",philosophy
158,responsibility: The state of being accountable for one's actions and choices.,philosophy
159,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
160,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
161,becoming: The process of change and transformation in existence.,philosophy
162,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
163,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
164,nihilism: The view that life lacks inherent meaning or value.,philosophy
165,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
166,becoming: The process of change and transformation in existence.,philosophy
167,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
168,virtue: Excellence of character; habitual good action.,philosophy
169,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
170,existence: The fact or state of being; concrete reality.,philosophy
171,relativism: The view that truth or value depends on perspective or culture.,philosophy
172,responsibility: The state of being accountable for one's actions and choices.,philosophy
173,care: The fundamental structure of human concern and involvement.,philosophy
174,beauty: Aesthetic quality that evokes pleasure or admiration.,philosophy
175,"meaning: Significance, purpose, or interpretation of something.",philosophy
176,consciousness: Awareness of internal and external existence; subjective experience.,philosophy
177,essence: The intrinsic nature or indispensable quality of something.,philosophy
178,worldhood: The structured totality of relations that make up a world.,philosophy
179,worldhood: The structured totality of relations that make up a world.,philosophy
180,care: The fundamental structure of human concern and involvement.,philosophy
181,truth: Correspondence between belief or statement and reality.,philosophy
182,virtue: Excellence of character; habitual good action.,philosophy
183,skepticism: Doubt about the possibility of certain knowledge.,philosophy
184,essence: The intrinsic nature or indispensable quality of something.,philosophy
185,worldhood: The structured totality of relations that make up a world.,philosophy
186,"intersubjectivity: Shared, overlapping subjective experience between persons.",philosophy
187,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
188,phenomenology: The study of structures of experience and consciousness.,philosophy
189,consciousness: Awareness of internal and external existence; subjective experience.,philosophy
190,care: The fundamental structure of human concern and involvement.,philosophy
191,worldhood: The structured totality of relations that make up a world.,philosophy
192,phenomenology: The study of structures of experience and consciousness.,philosophy
193,phenomenology: The study of structures of experience and consciousness.,philosophy
194,relativism: The view that truth or value depends on perspective or culture.,philosophy
195,care: The fundamental structure of human concern and involvement.,philosophy
196,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
197,freedom: The capacity for self-determination and choice.,philosophy
198,becoming: The process of change and transformation in existence.,philosophy
199,skepticism: Doubt about the possibility of certain knowledge.,philosophy
200,"meaning: Significance, purpose, or interpretation of something.",philosophy
201,skepticism: Doubt about the possibility of certain knowledge.,philosophy
202,relativism: The view that truth or value depends on perspective or culture.,philosophy
203,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
204,consciousness: Awareness of internal and external existence; subjective experience.,philosophy
205,authenticity: Living in accordance with one's own values and nature.,philosophy
206,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
207,worldhood: The structured totality of relations that make up a world.,philosophy
208,becoming: The process of change and transformation in existence.,philosophy
209,dasein: Being-there; human existence as situated and temporal.,philosophy
210,skepticism: Doubt about the possibility of certain knowledge.,philosophy
211,phenomenology: The study of structures of experience and consciousness.,philosophy
212,beauty: Aesthetic quality that evokes pleasure or admiration.,philosophy
213,care: The fundamental structure of human concern and involvement.,philosophy
214,worldhood: The structured totality of relations that make up a world.,philosophy
215,relativism: The view that truth or value depends on perspective or culture.,philosophy
216,skepticism: Doubt about the possibility of certain knowledge.,philosophy
217,freedom: The capacity for self-determination and choice.,philosophy
218,wisdom: Deep understanding and good judgment about important matters.,philosophy
219,existence: The fact or state of being; concrete reality.,philosophy
220,embodiment: The way consciousness is grounded in bodily experience.,philosophy
221,skepticism: Doubt about the possibility of certain knowledge.,philosophy
222,responsibility: The state of being accountable for one's actions and choices.,philosophy
223,freedom: The capacity for self-determination and choice.,philosophy
224,truth: Correspondence between belief or statement and reality.,philosophy
225,becoming: The process of change and transformation in existence.,philosophy
226,responsibility: The state of being accountable for one's actions and choices.,philosophy
227,authenticity: Living in accordance with one's own values and nature.,philosophy
228,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
229,existence: The fact or state of being; concrete reality.,philosophy
230,skepticism: Doubt about the possibility of certain knowledge.,philosophy
231,essence: The intrinsic nature or indispensable quality of something.,philosophy
232,consciousness: Awareness of internal and external existence; subjective experience.,philosophy
233,responsibility: The state of being accountable for one's actions and choices.,philosophy
234,virtue: Excellence of character; habitual good action.,philosophy
235,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
236,essence: The intrinsic nature or indispensable quality of something.,philosophy
237,nihilism: The view that life lacks inherent meaning or value.,philosophy
238,phenomenology: The study of structures of experience and consciousness.,philosophy
239,responsibility: The state of being accountable for one's actions and choices.,philosophy
240,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
241,worldhood: The structured totality of relations that make up a world.,philosophy
242,responsibility: The state of being accountable for one's actions and choices.,philosophy
243,freedom: The capacity for self-determination and choice.,philosophy
244,relativism: The view that truth or value depends on perspective or culture.,philosophy
245,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
246,wisdom: Deep understanding and good judgment about important matters.,philosophy
247,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
248,dasein: Being-there; human existence as situated and temporal.,philosophy
249,virtue: Excellence of character; habitual good action.,philosophy
250,embodiment: The way consciousness is grounded in bodily experience.,philosophy
251,embodiment: The way consciousness is grounded in bodily experience.,philosophy
252,truth: Correspondence between belief or statement and reality.,philosophy
253,becoming: The process of change and transformation in existence.,philosophy
254,care: The fundamental structure of human concern and involvement.,philosophy
255,skepticism: Doubt about the possibility of certain knowledge.,philosophy
256,skepticism: Doubt about the possibility of certain knowledge.,philosophy
257,becoming: The process of change and transformation in existence.,philosophy
258,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
259,phenomenology: The study of structures of experience and consciousness.,philosophy
260,relativism: The view that truth or value depends on perspective or culture.,philosophy
261,nihilism: The view that life lacks inherent meaning or value.,philosophy
262,absurdity: Lack of inherent meaning or purpose in existence.,philosophy
263,dasein: Being-there; human existence as situated and temporal.,philosophy
264,existence: The fact or state of being; concrete reality.,philosophy
265,"meaning: Significance, purpose, or interpretation of something.",philosophy
266,wisdom: Deep understanding and good judgment about important matters.,philosophy
267,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
268,skepticism: Doubt about the possibility of certain knowledge.,philosophy
269,virtue: Excellence of character; habitual good action.,philosophy
270,being: The fundamental nature of existence; what it means to be.,philosophy
271,"meaning: Significance, purpose, or interpretation of something.",philosophy
272,embodiment: The way consciousness is grounded in bodily experience.,philosophy
273,virtue: Excellence of character; habitual good action.,philosophy
274,relativism: The view that truth or value depends on perspective or culture.,philosophy
275,existence: The fact or state of being; concrete reality.,philosophy
276,essence: The intrinsic nature or indispensable quality of something.,philosophy
277,essence: The intrinsic nature or indispensable quality of something.,philosophy
278,freedom: The capacity for self-determination and choice.,philosophy
279,phenomenology: The study of structures of experience and consciousness.,philosophy
280,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
281,wisdom: Deep understanding and good judgment about important matters.,philosophy
282,intentionality: The directedness of mental states toward objects or states of affairs.,philosophy
283,"justice: Fairness in distribution of goods, opportunities, and punishments.",philosophy
284,phenomenology: The study of structures of experience and consciousness.,philosophy
285,authenticity: Living in accordance with one's own values and nature.,philosophy
286,transfer: Application of knowledge learned in one context to another.,cognition
287,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
288,"memory: The faculty of encoding, storing, and retrieving information.",cognition
289,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
290,intuition: Immediate understanding without conscious reasoning.,cognition
291,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
292,chunking: Grouping information into meaningful units for easier processing.,cognition
293,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
294,intuition: Immediate understanding without conscious reasoning.,cognition
295,priming: Implicit memory effect where exposure influences subsequent response.,cognition
296,episodic memory: Memory of personally experienced events in their temporal context.,cognition
297,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
298,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
299,"memory: The faculty of encoding, storing, and retrieving information.",cognition
300,cognitive load: Mental effort required to process information.,cognition
301,transfer: Application of knowledge learned in one context to another.,cognition
302,working memory: Short-term memory system for active manipulation of information.,cognition
303,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
304,episodic memory: Memory of personally experienced events in their temporal context.,cognition
305,perception: The organization and interpretation of sensory information.,cognition
306,perception: The organization and interpretation of sensory information.,cognition
307,metacognition: Awareness and regulation of one's own thinking processes.,cognition
308,cognitive load: Mental effort required to process information.,cognition
309,chunking: Grouping information into meaningful units for easier processing.,cognition
310,cognitive load: Mental effort required to process information.,cognition
311,cognitive load: Mental effort required to process information.,cognition
312,reasoning: The process of drawing conclusions from premises or evidence.,cognition
313,reasoning: The process of drawing conclusions from premises or evidence.,cognition
314,perception: The organization and interpretation of sensory information.,cognition
315,chunking: Grouping information into meaningful units for easier processing.,cognition
316,cognitive load: Mental effort required to process information.,cognition
317,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
318,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
319,imagination: The ability to form mental images or concepts not directly perceived.,cognition
320,transfer: Application of knowledge learned in one context to another.,cognition
321,cognitive load: Mental effort required to process information.,cognition
322,abstraction: Distilling essential features while removing concrete details.,cognition
323,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
324,cognitive load: Mental effort required to process information.,cognition
325,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
326,priming: Implicit memory effect where exposure influences subsequent response.,cognition
327,metacognition: Awareness and regulation of one's own thinking processes.,cognition
328,transfer: Application of knowledge learned in one context to another.,cognition
329,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
330,cognitive load: Mental effort required to process information.,cognition
331,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
332,intuition: Immediate understanding without conscious reasoning.,cognition
333,chunking: Grouping information into meaningful units for easier processing.,cognition
334,perception: The organization and interpretation of sensory information.,cognition
335,cognitive load: Mental effort required to process information.,cognition
336,cognitive load: Mental effort required to process information.,cognition
337,reasoning: The process of drawing conclusions from premises or evidence.,cognition
338,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
339,mental model: Internal representation of external reality used for reasoning.,cognition
340,metacognition: Awareness and regulation of one's own thinking processes.,cognition
341,chunking: Grouping information into meaningful units for easier processing.,cognition
342,reasoning: The process of drawing conclusions from premises or evidence.,cognition
343,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
344,imagination: The ability to form mental images or concepts not directly perceived.,cognition
345,metacognition: Awareness and regulation of one's own thinking processes.,cognition
346,cognitive load: Mental effort required to process information.,cognition
347,abstraction: Distilling essential features while removing concrete details.,cognition
348,intuition: Immediate understanding without conscious reasoning.,cognition
349,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
350,affordance: Action possibilities offered by objects or environment to an agent.,cognition
351,abstraction: Distilling essential features while removing concrete details.,cognition
352,working memory: Short-term memory system for active manipulation of information.,cognition
353,transfer: Application of knowledge learned in one context to another.,cognition
354,perception: The organization and interpretation of sensory information.,cognition
355,abstraction: Distilling essential features while removing concrete details.,cognition
356,imagination: The ability to form mental images or concepts not directly perceived.,cognition
357,abstraction: Distilling essential features while removing concrete details.,cognition
358,intuition: Immediate understanding without conscious reasoning.,cognition
359,perception: The organization and interpretation of sensory information.,cognition
360,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
361,priming: Implicit memory effect where exposure influences subsequent response.,cognition
362,metacognition: Awareness and regulation of one's own thinking processes.,cognition
363,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
364,working memory: Short-term memory system for active manipulation of information.,cognition
365,affordance: Action possibilities offered by objects or environment to an agent.,cognition
366,episodic memory: Memory of personally experienced events in their temporal context.,cognition
367,intuition: Immediate understanding without conscious reasoning.,cognition
368,priming: Implicit memory effect where exposure influences subsequent response.,cognition
369,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
370,transfer: Application of knowledge learned in one context to another.,cognition
371,working memory: Short-term memory system for active manipulation of information.,cognition
372,priming: Implicit memory effect where exposure influences subsequent response.,cognition
373,priming: Implicit memory effect where exposure influences subsequent response.,cognition
374,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
375,affordance: Action possibilities offered by objects or environment to an agent.,cognition
376,"memory: The faculty of encoding, storing, and retrieving information.",cognition
377,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
378,metacognition: Awareness and regulation of one's own thinking processes.,cognition
379,metacognition: Awareness and regulation of one's own thinking processes.,cognition
380,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
381,priming: Implicit memory effect where exposure influences subsequent response.,cognition
382,metacognition: Awareness and regulation of one's own thinking processes.,cognition
383,metacognition: Awareness and regulation of one's own thinking processes.,cognition
384,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
385,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
386,intuition: Immediate understanding without conscious reasoning.,cognition
387,perception: The organization and interpretation of sensory information.,cognition
388,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
389,transfer: Application of knowledge learned in one context to another.,cognition
390,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
391,transfer: Application of knowledge learned in one context to another.,cognition
392,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
393,metacognition: Awareness and regulation of one's own thinking processes.,cognition
394,working memory: Short-term memory system for active manipulation of information.,cognition
395,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
396,intuition: Immediate understanding without conscious reasoning.,cognition
397,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
398,episodic memory: Memory of personally experienced events in their temporal context.,cognition
399,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
400,mental model: Internal representation of external reality used for reasoning.,cognition
401,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
402,reasoning: The process of drawing conclusions from premises or evidence.,cognition
403,mental model: Internal representation of external reality used for reasoning.,cognition
404,transfer: Application of knowledge learned in one context to another.,cognition
405,chunking: Grouping information into meaningful units for easier processing.,cognition
406,imagination: The ability to form mental images or concepts not directly perceived.,cognition
407,"memory: The faculty of encoding, storing, and retrieving information.",cognition
408,working memory: Short-term memory system for active manipulation of information.,cognition
409,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
410,metacognition: Awareness and regulation of one's own thinking processes.,cognition
411,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
412,chunking: Grouping information into meaningful units for easier processing.,cognition
413,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
414,reasoning: The process of drawing conclusions from premises or evidence.,cognition
415,imagination: The ability to form mental images or concepts not directly perceived.,cognition
416,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
417,reasoning: The process of drawing conclusions from premises or evidence.,cognition
418,mental model: Internal representation of external reality used for reasoning.,cognition
419,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
420,"memory: The faculty of encoding, storing, and retrieving information.",cognition
421,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
422,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
423,imagination: The ability to form mental images or concepts not directly perceived.,cognition
424,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
425,mental model: Internal representation of external reality used for reasoning.,cognition
426,reasoning: The process of drawing conclusions from premises or evidence.,cognition
427,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
428,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
429,chunking: Grouping information into meaningful units for easier processing.,cognition
430,chunking: Grouping information into meaningful units for easier processing.,cognition
431,perception: The organization and interpretation of sensory information.,cognition
432,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
433,imagination: The ability to form mental images or concepts not directly perceived.,cognition
434,abstraction: Distilling essential features while removing concrete details.,cognition
435,working memory: Short-term memory system for active manipulation of information.,cognition
436,"memory: The faculty of encoding, storing, and retrieving information.",cognition
437,reasoning: The process of drawing conclusions from premises or evidence.,cognition
438,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
439,mental model: Internal representation of external reality used for reasoning.,cognition
440,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
441,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
442,abstraction: Distilling essential features while removing concrete details.,cognition
443,episodic memory: Memory of personally experienced events in their temporal context.,cognition
444,abstraction: Distilling essential features while removing concrete details.,cognition
445,cognitive load: Mental effort required to process information.,cognition
446,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
447,priming: Implicit memory effect where exposure influences subsequent response.,cognition
448,working memory: Short-term memory system for active manipulation of information.,cognition
449,automaticity: Ability to perform tasks with minimal conscious attention.,cognition
450,working memory: Short-term memory system for active manipulation of information.,cognition
451,cognitive load: Mental effort required to process information.,cognition
452,priming: Implicit memory effect where exposure influences subsequent response.,cognition
453,mental model: Internal representation of external reality used for reasoning.,cognition
454,intuition: Immediate understanding without conscious reasoning.,cognition
455,reasoning: The process of drawing conclusions from premises or evidence.,cognition
456,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
457,chunking: Grouping information into meaningful units for easier processing.,cognition
458,working memory: Short-term memory system for active manipulation of information.,cognition
459,semantic memory: Knowledge of facts and concepts independent of personal experience.,cognition
460,intuition: Immediate understanding without conscious reasoning.,cognition
461,"memory: The faculty of encoding, storing, and retrieving information.",cognition
462,intuition: Immediate understanding without conscious reasoning.,cognition
463,intuition: Immediate understanding without conscious reasoning.,cognition
464,metacognition: Awareness and regulation of one's own thinking processes.,cognition
465,working memory: Short-term memory system for active manipulation of information.,cognition
466,perception: The organization and interpretation of sensory information.,cognition
467,reasoning: The process of drawing conclusions from premises or evidence.,cognition
468,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
469,priming: Implicit memory effect where exposure influences subsequent response.,cognition
470,"memory: The faculty of encoding, storing, and retrieving information.",cognition
471,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
472,working memory: Short-term memory system for active manipulation of information.,cognition
473,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
474,reasoning: The process of drawing conclusions from premises or evidence.,cognition
475,schema: Cognitive framework organizing knowledge and guiding perception.,cognition
476,transfer: Application of knowledge learned in one context to another.,cognition
477,episodic memory: Memory of personally experienced events in their temporal context.,cognition
478,procedural memory: Memory of skills and procedures; knowing how rather than knowing that.,cognition
479,cognitive load: Mental effort required to process information.,cognition
480,chunking: Grouping information into meaningful units for easier processing.,cognition
481,affordance: Action possibilities offered by objects or environment to an agent.,cognition
482,attention: Selective concentration on specific information while ignoring other stimuli.,cognition
483,affordance: Action possibilities offered by objects or environment to an agent.,cognition
484,chunking: Grouping information into meaningful units for easier processing.,cognition
485,cognitive load: Mental effort required to process information.,cognition
